"QuestionTitle","ReviewDate","Keywords","CategoriesID","QuestionText"
"คุณสมบัติของการสมัครเรียน","2026-07-24","ข้อมูลสมัครเรียน, คุณสมบัติ, สมัครเรียน, เกณฑ์, เงื่อนไข","ข้อมูลสมัครเรียน","คุณสมบัติผู้สมัครเรียนต่อที่ PCRU
[ ] การศึกษา: จบ (หรือกำลังจะจบ) ม.6, ปวช. หรือ ปวส.
[ ] ความตั้งใจ: มีความสนใจและความถนัดในสาขาที่เลือกอย่างแท้จริง
[ ] สถานะ: ไม่เป็นภิกษุ สามเณร หรือภิกษุณี (เมื่อเข้าเรียน)
[ ] สุขภาพ: แข็งแรงสมบูรณ์ ไม่เป็นโรคที่เป็นอุปสรรคต่อการเรียน หรือติดสารเสพติด
[ ] ความประพฤติ: เรียบร้อย มีประวัติดี ไม่เคยถูกไล่ออกจากสถาบันใดเพราะความผิดวินัย
🌟 หมายเหตุ: บางสาขามีคุณสมบัติเฉพาะเพิ่มเติม อย่าลืมอ่านรายละเอียดท้ายประกาศในแต่ละรอบด้วยนะ!"
"หลักฐานการประกอบการสมัครเรียน","2026-07-25","ข้อมูลสมัครเรียน, สมัครเรียน, เอกสาร","ข้อมูลสมัครเรียน","หลักฐานการประกอบการสมัครเรียน
📸 รูปถ่ายสี (1.5 นิ้ว)	1 ใบ
🪪 บัตรประชาชน (ตัวจริง/สำเนา)	1 ฉบับ
🏠 ทะเบียนบ้าน (ตัวจริง/สำเนา)	1 ฉบับ
🎓 ใบรายงานผลการศึกษา (สำเนา)	1 ฉบับ
📝 หลักฐานอื่นๆ (เช่น ใบเปลี่ยนชื่อ)	1 ฉบับ"
"ช่องทางการรับสมัครเรียน","2026-07-25","ข้อมูลสมัครเรียน, ช่องทาง, สมัครเรียน","ข้อมูลสมัครเรียน","ช่องทางการรับสมัครเรียน
🌐 ออนไลน์: สมัครผ่านระบบ https://admission.pcru.ac.th/register
🏫 วอล์กอิน: สมัครที่สำนักส่งเสริมวิชาการฯ (อาคารอธิการบดี) มรภ.เพชรบูรณ์
🎓 โรงเรียน: สมัครผ่านอาจารย์ฝ่ายแนะแนว ณ โรงเรียนที่กำลังศึกษา"
"ขั้นตอนการสมัครเรียน","2026-07-25","ข้อมูลสมัครเรียน, ขั้นตอน, วิธี, สมัครเรียน","ข้อมูลสมัครเรียน","ขั้นตอนการสมัครเรียน
👉 https://sh.pcru.ac.th/DZ12"
"ดาวน์โหลดใบสมัครเรียน","2026-07-26","ข้อมูลสมัครเรียน, ดาวน์โหลด, ใบสมัครเรียน","ข้อมูลสมัครเรียน","ดาวน์โหลดใบสมัครเรียน
👉 https://sh.pcru.ac.th/PRjm"
"หลักฐานประกอบการรายงานตัว","2026-07-27","เอกสารการขึ้นทะเบียนนักศึกษา","เอกสารการขึ้นทะเบียนนักศึกษา","📝 หลักฐานประกอบการรายงานตัว
[ ] รูปถ่ายสี 1.5 นิ้ว — 1 ใบ
[ ] สำเนาบัตรประชาชน — 1 ฉบับ
[ ] สำเนาทะเบียนบ้าน — 1 ฉบับ
[ ] สำเนา Transcript (ใบเกรด) — 2 ฉบับ
[ ] ใบเปลี่ยนชื่อ-นามสกุล (ถ้ามี) — 2 ฉบับ
[ ] แบบยินยอมเปิดเผยข้อมูล — 1 ฉบับ"
"การบันทึกประวัตินักศึกษา","2026-07-27","เอกสารการขึ้นทะเบียนนักศึกษา","เอกสารการขึ้นทะเบียนนักศึกษา","📄การบันทึกประวัตินักศึกษา
Step 1: เข้าสู่ระบบ pmis.pcru.ac.th/mis/webservice/
Step 2: ข้อมูล Login Username: รหัสนักศึกษา 12 หลัก (เช่น 691102037101) 
Password: วัน/เดือน/ปีเกิด 6 หลัก (เช่น เกิด 1 ม.ค. 50 ใส่ 010150)
Step 3: กรอกข้อมูล  ดูคู่มือขั้นตอนการบันทึกอย่างละเอียดได้ที่นี่: คลิกอ่านคู่มือ"
"ระบบเทียบโอนหน่วยกิตและผลการศึกษา","2026-07-26","การเทียบโอน/ยกเว้นรายวิชา/ฯลฯ, ผลการเรียน, หน่วยกิต, เทียบโอน","การเทียบโอน/ยกเว้นรายวิชา","ระบบเทียบโอนหน่วยกิตและผลการศึกษา
👉 https://sh.pcru.ac.th/BrQx"
"สมัครเรียนออนไลน์","2026-07-25","ข้อมูลสมัครเรียน, ลิงค์, สมัครเรียน, ออนไลน์","ข้อมูลสมัครเรียน","สมัครเรียนออนไลน์
👉 https://sh.pcru.ac.th/YKDE"
"เงื่อนไขการรับสมัครทุนอุดหนุนการศึกษา","2026-07-26","ข้อมูลการสมัครทุนอุดหนุนการศึกษา, คุณสมบัติ, สมัครทุน, เกณฑ์, เงื่อนไข","ข้อมูลการสมัครทุนอุดหนุนการศึกษา","เงื่อนไขการรับสมัครทุนอุดหนุนการศึกษา
👉 https://sh.pcru.ac.th/Mm6x"
