QuestionTitle,QuestionText,ReviewDate,CategoriesID,Keywords
ค่าใช้จ่ายในการสมัครเรียน?,"1. ค่าสมัคร: 300 บาท
2. ค่าธรรมเนียมแรกเข้า: ภาคปกติ 4,300 บาท / ภาค กศ.ปช. 2,150 บาท
3. ค่าเทอม: ประมาณ 7,000 - 12,000 บาท (แล้วแต่สาขา)
** คณะครุศาสตร์ ช่วงสมัครจ่าย 300 บาท เมื่อสอบติดแล้วถึงจะค่อยไปจ่าย ค่าธรรมเนียมแรกเข้า และค่าเทอม",29/12/00,1-5,"การชำระเงินสมัครเรียน,ค่า,จ่าย,สมัคร,เทอม,เรียน"
คุณสมบัติผู้สมัครคณะพยาบาลศาสตร์?,"1. วุฒิการศึกษา:
กำลังศึกษาหรือสำเร็จการชั้น ม.6 (แผนการเรียนวิทย์-คณิต) เท่านั้น
2. เกรดเฉลี่ย (GPAX):
ไม่ต่ำกว่า 2.50 (คำนวณจาก 5 ภาคเรียน หรือตลอดหลักสูตร)
3. คุณสมบัติทางร่างกาย:
ส่วนสูง: ไม่ต่ำกว่า 150 เซนติเมตร
น้ำหนัก: ไม่น้อยกว่า 40 กิโลกรัม
สุขภาพ: ต้องมีสุขภาพแข็งแรงสมบูรณ์ ไม่เป็นโรคที่เป็นอุปสรรคต่อการศึกษา
4. การทดสอบ:
ต้องผ่านการทดสอบสุขภาพจิต
สอบข้อเขียน 5 วิชา: คือ วิทย์สุขภาพ, คณิต, ไทย, อังกฤษ, สังคมและความรู้ทั่วไป รวม 100 ข้อ
สอบสัมภาษณ์ และตรวจร่างกาย",29/12/00,1-2,"คณะ,คุณสมบัติ,พยาบาล,สมัคร,สอบ,เกณฑ์,เกรด"
ค้นหาหรือสอบถามข้อมูลการสมัครเรียน?,"เว็บไซต์: https://www.pcru.ac.th/main/view/ent_new
เบอร์โทรติดต่อ: 0-5671-7119 หรือ 0-5671-7100 ต่อ 1121, 1122, 1129",29/12/00,1-4,"ข้อมูล,ค้นหา,ติดต่อ,สมัครเรียน,สอบถาม,เบอร์,เว็บไซต์"
เกณฑ์ในการรับสมัครทุนเรียนดีมีอะไรบ้าง?,"1.สถานะนักศึกษา: ต้องเป็นนักศึกษา ภาคปกติ ระดับปริญญาตรี ชั้นปีที่ 1 ที่เริ่มเข้าศึกษาในภาคการศึกษาที่ 1 ปีการศึกษา 2569
2.จิตอาสา: มีส่วนร่วมในกิจกรรมจิตอาสาตามที่หน่วยงานภายในมหาวิทยาลัยราชภัฏเพชรบูรณ์หรือหน่วยงานภายนอก รวมกันไม่น้อยกว่า 5 ชั่วโมง
3. ผลการเรียน: มีเกรดเฉลี่ยสะสม (GPAX) ในภาคการศึกษาที่ 1/2569 ไม่น้อยกว่า 2.75
4. ผลการสอบ: ไม่สอบตก หรือได้ผลการเรียน “E” ในรายวิชาที่ลงทะเบียนเรียน
5. ความประพฤติ: มีความประพฤติเรียบร้อย ปฏิบัติตามกฎระเบียบของมหาวิทยาลัย
6. สิทธิการเบิกจ่าย: ไม่เป็นบุตรของบุคคลซึ่งมีสิทธิเบิกค่าธรรมเนียมการศึกษาจากหน่วยงานของรัฐ รัฐวิสาหกิจ หรือหน่วยงานภาคเอกชน
7. ทุนซ้ำซ้อน: ไม่เป็นผู้ได้รับทุนการศึกษาจากแหล่งทุนอื่นใดที่ให้ทุนในลักษณะเดียวกันกับประกาศนี้",29/12/00,2-1,"คุณสมบัติ,ดี,ทุน,สมัคร,เกณฑ์,เรียน"
กยศ. ต้องเก็บชั่วโมงจิตอาสากี่ชั่วโมงต่อปี และกิจกรรมที่เก็บชั่วโมงได้มีอะไรบ้าง?,"สำหรับผู้กู้ยืมรายเก่าที่ต้องการกู้ต่อในชั้นปีถัดไป ต้องมีชั่วโมงจิตอาสา ไม่น้อยกว่า 36 ชั่วโมงต่อปีการศึกษา 
-	ผู้กู้รายใหม่ (ปี 1): ตอนยื่นสมัครครั้งแรก อาจจะ ยังไม่ใช้ชั่วโมงจิตอาสา (หรือใช้ตามที่โรงเรียนเดิมกำหนด) แต่เมื่อเข้ามาเป็นนักศึกษาแล้ว ต้องเริ่มเก็บสะสมทันที เพื่อใช้ยื่นกู้ในปีถัดไปครับ
-	กิจกรรมที่นับได้: สามารถทำกิจกรรมจิตอาสาของมหาวิทยาลัย, บริจาคโลหิต, เรียนหลักสูตร e-Learning ของ กยศ.",29/12/00,2-2,"กยศ.,กิจกรรม,จำนวน,จิตอาสา,ชั่วโมง,ปี,เก็บ"
ไม่เคยกู้กยศ.มาก่อนต้องดำเนินการอย่างไร?,"สำหรับผู้ที่  ไม่เคยกู้ กยศ. มาก่อนเลย เรียกว่า ""ผู้กู้รายใหม่""  จะต้องเริ่มต้นดำเนินการตามขั้นตอนดังนี้ช
1. เตรียมคุณสมบัติและเอกสาร (ช่วงเดือน เม.ย. - พ.ค.)
ตรวจสอบรายได้ครอบครัว: รายได้รวมของบิดามารดาต้อง ไม่เกิน 360,000 บาทต่อปี (สำหรับ กยศ. ลักษณะที่ 1)
เตรียมเอกสารสำคัญ:
-	สำเนาบัตรประชาชน และทะเบียนบ้าน (ของตนเอง, บิดา, มารดา, ผู้ค้ำประกัน)
-	เอกสารรับรองรายได้ครอบครัว (สลิปเงินเดือน หรือ หนังสือรับรองรายได้ กยศ. 102 กรณีอาชีพอิสระ)
-	หนังสือรับรองการเป็นนักเรียน/นักศึกษา หรือ ใบแสดงผลการเรียน (ปพ.1)
-	สมุดบันทึกจิตอาสา: เตรียมหลักฐานการทำกิจกรรมจิตอาสา (จากโรงเรียนเดิม) อย่างน้อย 1 กิจกรรม หรือ 36 ชั่วโมง (ตามที่มหาวิทยาลัยกำหนดในปีนั้นๆ)
2. ลงทะเบียนในระบบ DSL (ช่วงเดือน มิ.ย)
-	โหลดแอปพลิเคชัน ""กยศ. Connect"" หรือเข้าเว็บไซต์ wsa.dsl.studentloan.or.th
-	ลงทะเบียนขอรหัสผ่านเพื่อเข้าใช้งานระบบ
-	กรอกข้อมูลประวัติส่วนตัวและ ""ยื่นคำขอกู้ยืม"" ในระบบให้เรียบร้อย
3. ยื่นเอกสารที่มหาวิทยาลัย (ตามประกาศมหาลัย)
-	รอประกาศจาก กองพัฒนานักศึกษา มรภ.เพชรบูรณ์ (ปกติจะให้ส่งเอกสารช่วงเดือน มิถุนายน)
-	นำเอกสารทั้งหมดที่เตรียมไว้ ไปส่งด้วยตนเองที่ กองพัฒนานักศึกษา เพื่อให้เจ้าหน้าที่ตรวจสอบ
4. ทำสัญญาและรอนุมัติ
เมื่อผ่านการคัดเลือกแล้ว จะต้องเข้าไปทำ ""สัญญากู้ยืมเงิน"" ในระบบ DSL และพิมพ์สัญญาออกมาเซ็นพร้อมผู้ค้ำประกัน แล้วนำไปส่งมหาวิทยาลัยอีกครั้งครับ
** คำแนะนำเพิ่มเติม:
สำรองจ่ายค่าเทอมก่อน: ในเทอมแรก น้องจะต้อง ""สำรองจ่ายค่าเทอม"" ไปก่อน แล้วค่อยทำเรื่องขอคืนเงินเมื่อเงินกู้เข้าบัญชีครับ (ดังนั้นเตรียมเงินค่าเทอมก้อนแรกไว้ด้วยนะครับ)
ติดตามข่าวสาร: เฟสบุ๊ค ""งาน กยศ. กองพัฒนานักศึกษา มหาวิทยาลัยราชภัฏเพชรบูรณ์""",29/12/00,2-2,"กยศ.,กู้,จ่าย,ดำเนินการ,รายใหม่,สมัคร,สำรอง"
สามารถติดตามข่าวสาร กยศ. ได้ทางช่องทางใดบ้าง ?,"กดติดตามเพจเฟสบุ๊ค ""งาน กยศ. กองพัฒนานักศึกษา มหาวิทยาลัยราชภัฏเพชรบูรณ์""  ลิงค์ https://www.facebook.com/Studentloan.PCRU/?locale=th_TH",29/12/00,2-2,"facebook,กยศ.,ข่าว,ช่องทาง,ติดตาม,เพจ,เฟสบุ๊ค"
เคยกู้ กยศ. มาจากโรงเรียนเก่า ต้องดำเนินการอย่างไรต่อไป?,"จะจัดอยู่ในกลุ่ม ""ผู้กู้รายเก่า ย้ายสถานศึกษา"" 
1. ไม่ต้องสมัครสมาชิกใหม่: ให้ใช้รหัสผ่านเดิมเข้าระบบ DSL (Digital Student Loan Fund System) ได้เลย
2. รอยื่นกู้ในระบบ: เมื่อมหาวิทยาลัยเปิดระบบ (ปกติช่วงเดือน มิถุนายน) ให้เข้าไปกด ""ยื่นคำขอกู้ยืม"" และเลือกสถานะว่ากู้ต่อในระดับอุดมศึกษา
3. เตรียมเอกสาร: ระหว่างรอ ให้เตรียม หนังสือรับรองรายได้ครอบครัว และ ใบแสดงผลการเรียน ไว้ให้พร้อม",29/12/00,2-2,"กยศ.,กู้,ดำเนินการ,เก่า,เคย"
เงื่อนไขการให้ทุนอุดหนุนการศึกษา?,"สำหรับ เงื่อนไขการให้ทุนอุดหนุนการศึกษา เมื่อได้รับทุนแล้ว นักศึกษาจะได้รับสิทธิประโยชน์และต้องปฏิบัติตามข้อตกลงดังนี้ครับ
สิทธิประโยชน์:
1. เรียนฟรี: ได้รับการยกเว้นค่าธรรมเนียมการศึกษา (ค่าเทอม) แบบเหมาจ่ายตลอดหลักสูตร ตั้งแต่เทอม 1/2569 เป็นต้นไป
** กรณีจ่ายค่าเทอมไปแล้วสามารถนำใบเสร็จไปขอรับเงินคืนได้ที่งานคลัง
2. ไม่ต้องใช้คืน: เป็นทุนให้เปล่า ไม่ต้องชดใช้เงินคืนเมื่อเรียนจบ
3. กู้ กยศ. ได้: ยังมีสิทธิกู้ยืมเงิน กยศ. ได้ตามปกติ (เพื่อเป็นค่าครองชีพ)
ข้อผูกมัดและเงื่อนไขการรักษาทุน:
1. ช่วยงานมหาลัย: ต้องเข้าร่วมกิจกรรมหรือช่วยเหลืองานของมหาวิทยาลัย ไม่น้อยกว่า 30 ชั่วโมงต่อภาคเรียน
4. ห้ามสอบตก: ต้องไม่มีผลการเรียนเป็น ""F"" หรือ ""E"" ในทุกรายวิชา
5. รักษาเกรดเฉลี่ย: ต้องรักษาเกรดสะสม (GPAX) ให้ไม่ต่ำกว่าเกณฑ์ของทุนแต่ละประเภท
ทุนเรียนดี: ไม่ต่ำกว่า 2.75
ทุนสร้างโอกาส (ทุนยากจน): ไม่ต่ำกว่า 2.50
ทุนความสามารถพิเศษ & ทุนนักกีฬา: ไม่ต่ำกว่า 2.20
4. ความประพฤติ: ต้องประพฤติตนเหมาะสม ไม่ถูกลงโทษทางวินัย และไม่พักการเรียนหรือย้ายสาขาวิชา
** หากผิดเงื่อนไขข้อใดข้อหนึ่ง จะถูกระงับทุน ทันทีในภาคเรียนถัดไป",29/12/00,2-1,"ข้อปฏิบัติ,ทุน,รักษา,สิทธิ,เงื่อนไข"
ประเภททุนอุดหนุนการศึกษามีอะไรบ้าง และช่วยลดค่าใช้จ่ายส่วนไหน?,"มหาวิทยาลัยมี ทุนยกเว้นค่าเทอม ให้ปีละ 50 ทุน โดยแบ่งเป็น 4 ประเภท คือ
1. ทุนเรียนดี
2. ทุนสร้างโอกาสทางการศึกษา (ทุนยากจน)
3. ทุนความสามารถพิเศษ
4. ทุนนักกีฬา",29/12/00,2-1,"ค่า,จ่าย,จำนวน,ทุนลด,ประเภท"
เกณฑ์ในการรับสมัครทุนสร้างโอกาสทางการศึกษา (ทุนยากจน)  มีอะไรบ้าง?,"1. สถานะนักศึกษา: ต้องเป็นนักศึกษา ภาคปกติ ระดับปริญญาตรี ชั้นปีที่ 1 ที่เริ่มเข้าศึกษาในภาคการศึกษาที่ 1 ปีการศึกษา 2569
2. รายได้ครอบครัว: บิดา มารดา หรือผู้ปกครอง มีรายได้รวมกัน ไม่เกิน 100,000 บาทต่อปี (ต้องมีหนังสือรับรองรายได้จากผู้นำท้องถิ่น เช่น ผู้ใหญ่บ้าน หรือ อบต.)
3. จิตอาสา: มีส่วนร่วมในกิจกรรมจิตอาสาตามที่หน่วยงานภายในมหาวิทยาลัยราชภัฏเพชรบูรณ์หรือหน่วยงานภายนอก รวมกันไม่น้อยกว่า 5 ชั่วโมง
4. ผลการเรียน: มีเกรดเฉลี่ยสะสม (GPAX) ในภาคการศึกษาที่ 1/2569 ไม่น้อยกว่า 2.50
5. ผลการสอบ: ไม่สอบตก หรือได้ผลการเรียน “E” ในรายวิชาที่ลงทะเบียนเรียน
6. ความประพฤติ: มีความประพฤติเรียบร้อย ปฏิบัติตามกฎระเบียบของมหาวิทยาลัย
7. สิทธิการเบิกจ่าย: ไม่เป็นบุตรของบุคคลซึ่งมีสิทธิเบิกค่าธรรมเนียมการศึกษาจากหน่วยงานของรัฐ รัฐวิสาหกิจ หรือหน่วยงานภาคเอกชน
8. ทุนซ้ำซ้อน: ไม่เป็นผู้ได้รับทุนการศึกษาจากแหล่งทุนอื่นใดที่ให้ทุนในลักษณะเดียวกันกับประกาศนี้",29/12/00,2-1,"คุณสมบัติ,ทุน,ยากจน,สมัคร,เกณฑ์"
เกณฑ์ในการรับสมัครทุนความสามารถพิเศษมีอะไรบ้าง?,"1. สถานะนักศึกษา: ต้องเป็นนักศึกษา ภาคปกติ ระดับปริญญาตรี ชั้นปีที่ 1 ที่เริ่มเข้าศึกษาในภาคการศึกษาที่ 1 ปีการศึกษา 2569
2. ความสามารถ: มีมีความสามารถพิเศษที่เป็นประโยชน์ต่อมหาวิทยาลัยราชภัฏเพชรบูรณ์ เช่น ทางด้านศิลปวัฒนธรรม หรือความสามารถพิเศษด้านอื่น ๆ ที่นักศึกษาสังกัด และสามารถอุทิศตนเพื่อเข้าร่วมทำกิจกรรม หรือแข่งขันในรายการต่าง ๆ ตามที่มหาวิทยาลัยราชภัฏเพชรบูรณ์กำหนดตามที่กำหนด
3. จิตอาสา: มีส่วนร่วมในกิจกรรมจิตอาสา (ของมหาวิทยาลัยหรือภายนอกก็ได้) รวมกัน ไม่น้อยกว่า 5 ชั่วโมง
4. ผลการเรียน: มีเกรดเฉลี่ยสะสม (GPAX) ในภาคการศึกษาที่ 1/2569 ไม่น้อยกว่า 2.20
5. ผลการสอบ: ต้อง ไม่สอบตก หรือได้ผลการเรียน “E” ในรายวิชาที่ลงทะเบียนเรียน
6. ความประพฤติ: มีความประพฤติเรียบร้อย ปฏิบัติตามกฎระเบียบของมหาวิทยาลัย
7. สิทธิการเบิกจ่าย: ไม่เป็นบุตรของบุคคลซึ่งมีสิทธิเบิกค่าธรรมเนียมการศึกษาจากหน่วยงานของรัฐ รัฐวิสาหกิจ หรือหน่วยงานภาคเอกชน
8. ทุนซ้ำซ้อน: ไม่เป็นผู้ได้รับทุนการศึกษาจากแหล่งทุนอื่นใดที่ให้ทุนในลักษณะเดียวกันกับประกาศนี้",29/12/00,2-1,"คุณสมบัติ,ทุน,พิเศษ,สมัคร,เกณฑ์"
เกณฑ์ในการรับสมัครทุนนักกีฬา?,"1. สถานะนักศึกษา: ต้องเป็นนักศึกษา ภาคปกติ ระดับปริญญาตรี ชั้นปีที่ 1 ที่เริ่มเข้าศึกษาในภาคการศึกษาที่ 1 ปีการศึกษา 2569
2. ความสามารถทางกีฬา:
มีความสามารถทางด้านกีฬา โดยเคยได้รับรางวัลการแข่งขันกีฬาในระดับจังหวัด ระดับภาค ระดับชาติ หรือระดับนานาชาติ ย้อนหลังไม่เกิน ๓ ปี นับถึงวันสมัคร และได้รับการคัดเลือกให้เป็นนักกีฬาของมหาวิทยาลัยราชภัฏเพชรบูรณ์ นักกีฬาระดับจังหวัด นักกีฬาระดับภาค หรือนักกีฬาระดับชาติ
3. จิตอาสา: มีส่วนร่วมในกิจกรรมจิตอาสา (ของมหาวิทยาลัยหรือภายนอกก็ได้) รวมกัน ไม่น้อยกว่า 5 ชั่วโมง
4. ผลการเรียน: มีเกรดเฉลี่ยสะสม (GPAX) ในภาคการศึกษาที่ 1/2569 ไม่น้อยกว่า 2.20
5. ผลการสอบ: ไม่สอบตก หรือได้ผลการเรียน “E” ในรายวิชาที่ลงทะเบียนเรียน
6. ความประพฤติ: มีความประพฤติเรียบร้อย ปฏิบัติตามกฎระเบียบของมหาวิทยาลัย
7. สิทธิการเบิกจ่าย: ไม่เป็นบุตรของบุคคลซึ่งมีสิทธิเบิกค่าธรรมเนียมการศึกษาจากหน่วยงานของรัฐ รัฐวิสาหกิจ หรือหน่วยงานภาคเอกชน
8. ทุนซ้ำซ้อน: ไม่เป็นผู้ได้รับทุนการศึกษาจากแหล่งทุนอื่นใดที่ให้ทุนในลักษณะเดียวกันกับประกาศนี้",29/12/00,2-1,"กีฬา,คุณสมบัติ,ทุน,สมัคร,เกณฑ์"
เบอร์โทรติดต่อเรื่องทุนอุดหนุนการศึกษา?,"สอบถามรายละเอียดการรับสมัคร: ติดต่อ สำนักส่งเสริมวิชาการและงานทะเบียน
เบอร์โทร: 056-717119 (สายตรง)
เบอร์กลาง: 056-717100 ต่อ 1121, 1122",29/12/00,2-1,"ติดต่อ,ทุน,สมัคร,เบอร์"
เบอร์โทรติดต่อเรื่อง กยศ.,"เบอร์กลาง: 056-717100 ต่อ 5103 (โต๊ะงาน กยศ.) หรือ 5101 (สำนักงานกองพัฒนานักศึกษา)
เบอร์สายตรง: 056-717144",29/12/00,2-2,"กยศ.,ติดต่อ,เบอร์"
ค่าหอพักเทอมละกี่บาท?,"ค่าเทอมหอพักนักศึกษาเทอมละ 2,000 บาท (รวมค่าน้ำค่าไฟ)",29/12/00,3-2,"ค่า,น้ำ,หอพัก,เทอม,เท่าไหร่,ไฟ"
สามารถระบุชื่อเพื่อนที่จะมาเป็นรูมเมทได้ไหม?,สามารถระบุชื่อเพื่อนที่จะมาเป็นรูมเมทได้ ในขั้นตอนการสมัครเข้าหอพัก,29/12/00,3-1,"ชื่อ,ระบุ,รูมเมท,เพื่อน"
